Time (s)	Signal (V)
0.000305	-1.995829
0.000306	-1.912695
0.000307	-1.562436
0.000308	-0.962937
0.000309	-0.182187
0.000310	0.658659
0.000311	1.404290
0.000312	1.888437
0.000313	1.977534
0.000314	1.615671
0.000315	0.852799
0.000316	-0.145131
0.000317	-1.125499
0.000318	-1.811999
0.000319	-1.987290
0.000320	-1.573069
0.000321	-0.669551
0.000322	0.455012
0.000323	1.442796
0.000324	1.964000
0.000325	1.833659
0.000326	1.082385
0.000327	-0.039119
0.000328	-1.149182
0.000329	-1.866616
0.000330	-1.948462
0.000331	-1.370390
0.000332	-0.337821
0.000333	0.798988
0.000334	1.666744
0.000335	1.996384
0.000336	1.704606
0.000337	0.903550
0.000338	-0.148031
0.000339	-1.140321
0.000340	-1.807327
0.000341	-1.995507
0.000342	-1.691003
0.000343	-1.001765
0.000344	-0.112587
0.000345	0.773693
0.000346	1.482108
0.000347	1.901004
0.000348	1.988328
0.000349	1.767924
0.000350	1.309072
0.000351	0.702159
0.000352	0.043048
0.000353	-0.543239
0.000354	-1.090699
0.000355	-1.518452
0.000356	-1.809260
0.000357	-1.964412
0.000358	-1.999696
0.000359	-1.934767
0.000360	-1.793954
0.000361	-1.600458
0.000362	-1.374579
0.000363	-1.133071
0.000364	-0.890436
0.000365	-0.655535
0.000366	-0.434650
0.000367	-0.231971
0.000368	-0.048303
0.000369	0.114904
0.000370	0.259099
0.000371	0.386056
0.000372	0.496901
0.000373	0.593730
0.000374	0.680087
0.000375	0.757260
0.000376	0.826538
0.000377	0.891628
0.000378	0.954139
0.000379	1.015524
0.000380	1.077713
0.000381	1.142803
0.000382	1.211115
0.000383	1.284099
0.000384	1.362723
0.000385	1.446341
0.000386	1.535598
0.000387	1.627271
0.000388	1.719912
0.000389	1.808847
0.000390	1.888921
0.000391	1.952722
0.000392	1.991551
0.000393	1.993967
0.000394	1.948533
0.000395	1.841553
0.000396	1.662555
0.000397	1.399940
0.000398	1.051613
0.000399	0.619025
0.000400	0.117804
0.000401	-0.425628
0.000402	-0.966803
0.000403	-1.484135
0.000404	-1.835844
0.000405	-1.995668
0.000406	-1.912533
0.000407	-1.562597
0.000408	-0.963098
0.000409	-0.182348
0.000410	0.658497
0.000411	1.403484
0.000412	1.887148
0.000413	1.976406
0.000414	1.614705
0.000415	0.852799
0.000416	-0.145131
0.000417	-1.125338
0.000418	-1.811838
0.000419	-1.987934
0.000420	-1.573230
0.000421	-0.669713
0.000422	0.454690
0.000423	1.442957
0.000424	1.964322
0.000425	1.833497
0.000426	1.082708
0.000427	-0.039119
0.000428	-1.149021
0.000429	-1.867261
0.000430	-1.948462
0.000431	-1.370551
0.000432	-0.337821
0.000433	0.798827
0.000434	1.666422
0.000435	1.995901
0.000436	1.704445
0.000437	0.903550
0.000438	-0.147870
0.000439	-1.140321
0.000440	-1.807005
0.000441	-1.995668
0.000442	-1.691165
0.000443	-1.001765
0.000444	-0.112264
0.000445	0.773532
0.000446	1.482108
0.000447	1.900521
0.000448	1.988328
0.000449	1.768246
0.000450	1.308589
0.000451	0.702320
0.000452	0.043048
0.000453	-0.543401
0.000454	-1.090699
0.000455	-1.518291
0.000456	-1.809099
0.000457	-1.965217
0.000458	-1.999857
0.000459	-1.934767
0.000460	-1.793632
0.000461	-1.599814
0.000462	-1.374417
0.000463	-1.133232
0.000464	-0.890436
0.000465	-0.655696
0.000466	-0.434489
0.000467	-0.231971
0.000468	-0.048625
0.000469	0.114743
0.000470	0.259422
0.000471	0.385734
0.000472	0.496579
0.000473	0.594213
0.000474	0.679764
0.000475	0.756776
0.000476	0.826538
0.000477	0.891467
0.000478	0.954301
0.000479	1.015362
0.000480	1.077552
0.000481	1.142803
0.000482	1.210954
0.000483	1.284099
0.000484	1.362884
0.000485	1.446985
0.000486	1.535759
0.000487	1.627433
0.000488	1.720234
0.000489	1.809169
0.000490	1.888760
0.000491	1.952722
0.000492	1.991551
0.000493	1.993645
0.000494	1.948211
0.000495	1.841714
0.000496	1.662394
0.000497	1.400262
0.000498	1.051774
0.000499	0.619347
0.000500	0.117482
0.000501	-0.424983
0.000502	-0.967287
0.000503	-1.484618
0.000504	-1.836166
0.000505	-1.996151
0.000506	-1.912856
0.000507	-1.563080
0.000508	-0.963259
0.000509	-0.182832
0.000510	0.658336
0.000511	1.403646
0.000512	1.887148
0.000513	1.976567
0.000514	1.614705
0.000515	0.852638
0.000516	-0.144970
0.000517	-1.124693
0.000518	-1.811677
0.000519	-1.987934
0.000520	-1.573069
0.000521	-0.669551
0.000522	0.454368
0.000523	1.442957
0.000524	1.964161
0.000525	1.833497
0.000526	1.083030
0.000527	-0.038958
0.000528	-1.149182
0.000529	-1.867100
0.000530	-1.948462
0.000531	-1.370390
0.000532	-0.337660
0.000533	0.798504
0.000534	1.666422
0.000535	1.996545
0.000536	1.704767
0.000537	0.903711
0.000538	-0.147870
0.000539	-1.140160
0.000540	-1.806843
0.000541	-1.995668
0.000542	-1.691165
0.000543	-1.001765
0.000544	-0.112587
0.000545	0.773693
0.000546	1.482269
0.000547	1.900843
0.000548	1.988812
0.000549	1.768407
0.000550	1.308911
0.000551	0.702481
